,car_type,location,brand,model,version,year,fuel_type,transmission_type,distance_driven,price
0,-,Chennai,Maruti,Ertiga,VDI,2012,Diesel,Manual,"64,523 kms",6.1 Lakh
1,-,Chennai,Maruti,Wagon R,AMT VXI,2018,Petrol,Automatic,"29,000 kms",5.15 Lakh
2,-,Chennai,Hyundai,Verna,CRDi 1.4 EX,2019,Diesel,Manual,"38,000 kms",9.55 Lakh
3,-,Chennai,Maruti,Alto,LXi,2006,Petrol,Manual,"91,500 kms",1.4 Lakh
4,-,Chennai,Ford,Ecosport,1.5 DV5 MT Titanium,2014,Diesel,Manual,"45,000 kms",6.25 Lakh
5,-,Chennai,Maruti,Ciaz,Alpha,2019,Petrol,Manual,"52,000 kms",9 Lakh
6,-,Chennai,Hyundai,Grand i10,Sportz,2015,Petrol,Manual,"1,00,035 kms",4.1 Lakh
7,-,Chennai,Hyundai,Grand i10,1.2 Kappa Asta,2019,Petrol,Manual,"19,000 kms",6.45 Lakh
8,-,Chennai,Maruti,Wagon R,LXI,2007,Petrol,Manual,"1,00,000 kms",1.25 Lakh
9,-,Chennai,Honda,Jazz,S,2009,Petrol,Manual,"77,400 kms",2.95 Lakh
10,-,Chennai,Maruti,Swift Dzire,VXI,2017,Petrol,Manual,"42,306 kms",5.9 Lakh
11,-,Chennai,Ford,Figo,Diesel Titanium,2014,Diesel,Manual,"55,001 kms",3.95 Lakh
12,-,Chennai,Maruti,Ertiga,ZDI,2016,Diesel,Manual,"63,000 kms",8.5 Lakh
13,-,Chennai,Ford,Ecosport,1.5 DV5 MT Titanium,2013,Diesel,Manual,"64,000 kms",5.5 Lakh
14,-,Chennai,Maruti,Celerio,ZXI AMT BSIV,2017,Petrol,Automatic,"55,000 kms",4.5 Lakh
15,-,Chennai,Maruti,Swift,ZDI BSIV,2015,Diesel,Manual,"44,000 kms",6.05 Lakh
16,-,Chennai,Maruti,Alto,LX,2006,Petrol,Manual,"98,000 kms",1.2 Lakh
17,-,Chennai,Toyota,Innova,2.5 VX (Diesel) 8 Seater,2014,Diesel,Manual,"4,20,000 kms",8.65 Lakh
18,-,Chennai,Honda,WR-V,i-DTEC VX,2017,Diesel,Manual,"46,001 kms",8.75 Lakh
19,-,Chennai,Toyota,Qualis,FS F3,2004,Diesel,Manual,"2,02,066 kms",2.6 Lakh
20,-,Chennai,Maruti,800,AC,2003,Petrol,Manual,"62,003 kms","82,000"
21,-,Chennai,Honda,Brio,S Option MT,2012,Petrol,Manual,"74,064 kms",3.3 Lakh
22,-,Chennai,Hyundai,Grand i10,Sportz,2015,Petrol,Manual,"83,664 kms",3.9 Lakh
23,-,Chennai,Hyundai,i10,Magna,2010,Petrol,Manual,"69,070 kms",2.45 Lakh
24,-,Chennai,Hyundai,i20,Asta 1.2,2016,Petrol,Manual,"76,000 kms",5.99 Lakh
25,-,Chennai,Hyundai,Grand i10,Magna,2017,Petrol,Manual,"77,000 kms",4.6 Lakh
26,-,Chennai,Honda,Brio,V MT,2012,Petrol,Manual,"86,839 kms",3.45 Lakh
27,-,Chennai,Maruti,Swift Dzire,Ldi BSIV,2010,Diesel,Manual,"80,364 kms",3.6 Lakh
28,-,Chennai,Maruti,Wagon R,AMT VXI,2015,Petrol,Automatic,"19,000 kms",4.3 Lakh
29,-,Chennai,Honda,Brio,S MT,2013,Petrol,Manual,"37,737 kms",3.35 Lakh
30,-,Chennai,Honda,City,V MT,2013,Petrol,Manual,"1,14,937 kms",4.4 Lakh
31,-,Chennai,Hyundai,Grand i10,AT Asta,2015,Petrol,Automatic,"65,280 kms",5.2 Lakh
32,-,Chennai,Hyundai,Grand i10,Magna,2014,Petrol,Manual,"65,306 kms",3.9 Lakh
33,-,Chennai,Hyundai,i20,Asta (o),2009,Petrol,Manual,"88,123 kms",3.25 Lakh
34,-,Chennai,Honda,Amaze,S CVT i-VTEC,2019,Petrol,Automatic,"12,000 kms",7.9 Lakh
35,-,Chennai,Mahindra,TUV 300,T6 Plus,2018,Diesel,Manual,"52,001 kms",8.7 Lakh
36,-,Chennai,Maruti,Zen Estilo,VXI BSIV,2013,Petrol,Manual,"60,000 kms",2.5 Lakh
37,-,Chennai,Honda,Jazz,1.2 SV i VTEC,2017,Petrol,Manual,"27,001 kms",6.7 Lakh
38,-,Chennai,Land,Rover Range Rover Evoque,2.2L Dynamic,2012,Diesel,Automatic,"63,000 kms",23.5 Lakh
39,-,Chennai,Hyundai,Creta,1.6 CRDi SX,2016,Diesel,Manual,"69,000 kms",10.25 Lakh
40,-,Chennai,BMW,5 Series,525d Sedan,2012,Diesel,Automatic,"1,30,000 kms",16.25 Lakh
41,-,Chennai,Honda,Amaze,V Petrol BSIV,2019,Petrol,Manual,"20,703 kms",7.3 Lakh
42,-,Chennai,Hyundai,i10,Era,2012,Petrol,Manual,"64,950 kms",2.85 Lakh
43,-,Chennai,Maruti,Ritz,ZDi,2014,Diesel,Manual,"97,337 kms",3.8 Lakh
44,-,Chennai,Mercedes-Benz,M-Class,ML 350 4Matic,2013,Diesel,Automatic,"1,20,000 kms",23.5 Lakh
45,-,Chennai,BMW,X1,sDrive 20d xLine,2016,Diesel,Automatic,"37,000 kms",26 Lakh
46,-,Chennai,Mercedes-Benz,CLS-Class,250 CDI,2013,Diesel,Automatic,"45,000 kms",13.9 Lakh
47,-,Chennai,Ford,Ecosport,1.0 Ecoboost Titanium,2013,Petrol,Manual,"81,236 kms",4 Lakh
48,-,Chennai,Honda,City,i VTEC E,2016,Petrol,Manual,"22,001 kms",6.95 Lakh
49,-,Chennai,Toyota,Innova Crysta,2.4 VX MT BSIV,2019,Diesel,Manual,"42,000 kms",21.75 Lakh
50,-,Chennai,Mahindra,TUV 300,T10,2018,Diesel,Manual,"50,000 kms",8.75 Lakh
51,-,Chennai,Honda,City,i DTEC SV,2016,Diesel,Manual,"68,000 kms",8.1 Lakh
52,-,Chennai,Hyundai,Verna,1.6 SX,2013,Diesel,Manual,"84,000 kms",5.3 Lakh
53,-,Chennai,Toyota,Corolla,AE,2008,Petrol,Manual,"72,000 kms",2.8 Lakh
54,-,Chennai,Hyundai,Verna,1.6 VTVT SX,2015,Petrol,Manual,"49,000 kms",6.85 Lakh
55,-,Chennai,Nissan,Micra,XL CVT,2018,Petrol,Automatic,"21,050 kms",5.6 Lakh
56,-,Chennai,Datsun,RediGO,1.0 T Option,2018,Petrol,Manual,"8,515 kms",3.6 Lakh
57,-,Chennai,Hyundai,i20,Sportz 1.2,2014,Petrol,Manual,"30,000 kms",5.45 Lakh
58,-,Chennai,Volkswagen,Polo,1.5 TDI Comfortline,2018,Diesel,Manual,"20,001 kms",7.65 Lakh
59,-,Chennai,Toyota,Innova,2.5 VX 7 STR,2010,Diesel,Manual,"1,74,815 kms",7.5 Lakh
60,-,Chennai,Hyundai,Creta,1.6 SX Automatic Diesel,2015,Diesel,Automatic,"82,000 kms",9.25 Lakh
61,-,Chennai,Hyundai,EON,Era Plus,2013,Petrol,Manual,"18,000 kms",3.15 Lakh
62,-,Chennai,Honda,Mobilio,V i-VTEC,2015,Petrol,Manual,"71,000 kms",5.9 Lakh
63,-,Chennai,Toyota,Innova Crysta,2.8 AT Touring Sport BSIV,2017,Diesel,Automatic,"78,000 kms",19.5 Lakh
64,-,Chennai,Hyundai,Santro Xing,GLS,2008,Petrol,Manual,"1,02,321 kms",1.7 Lakh
65,-,Chennai,Jeep,Compass,1.4 Limited,2017,Petrol,Automatic,"30,000 kms",15 Lakh
66,-,Chennai,Maruti,Baleno,1.2 Zeta,2018,Petrol,Manual,"35,000 kms",6.75 Lakh
67,-,Chennai,Maruti,Swift,1.3 LXI,2009,Petrol,Manual,"48,000 kms",2.9 Lakh
68,-,Chennai,Toyota,Innova Crysta,2.8 ZX AT BSIV,2018,Diesel,Automatic,"41,000 kms",23 Lakh
69,-,Chennai,Chevrolet,Enjoy,TCDi LTZ 7 Seater,2013,Diesel,Manual,"27,000 kms",4.4 Lakh
70,-,Chennai,Maruti,SX4 S Cross,DDiS 200 Zeta,2015,Diesel,Manual,"36,000 kms",7.8 Lakh
71,-,Chennai,Honda,Brio,1.2 S MT,2017,Petrol,Manual,"52,000 kms",4.95 Lakh
72,-,Chennai,Hyundai,Creta,1.6 SX Automatic,2017,Petrol,Automatic,"37,000 kms",10.5 Lakh
73,-,Chennai,Land,Rover Discovery Sport,SD4 HSE Luxury 7S,2018,Diesel,Automatic,"40,001 kms",44 Lakh
74,-,Chennai,Volkswagen,Vento,1.6 Highline Plus 16 Alloy,2019,Petrol,Manual,"15,000 kms",9.5 Lakh
75,-,Chennai,Maruti,Swift,VDI Optional,2016,Diesel,Manual,"39,000 kms",5.9 Lakh
76,-,Chennai,Chevrolet,Beat,Diesel PS,2013,Diesel,Manual,"34,001 kms",2.95 Lakh
77,-,Chennai,Maruti,Wagon R,VXI,2009,Petrol,Manual,"60,200 kms",2.15 Lakh
78,-,Chennai,Hyundai,Verna,SX CRDi AT,2011,Diesel,Automatic,"45,000 kms",4.9 Lakh
79,-,Chennai,Maruti,Baleno,1.3 Delta,2018,Diesel,Manual,"62,037 kms",6.8 Lakh
80,-,Chennai,Hyundai,Santro Xing,GLS,2009,Petrol,Manual,"91,600 kms",1.85 Lakh
81,-,Chennai,Maruti,Eeco,7 Seater Standard BSIV,2012,Petrol,Manual,"65,500 kms",2.7 Lakh
82,-,Chennai,Honda,BR-V,i-VTEC V MT,2018,Petrol,Manual,"2,000 kms",10.35 Lakh
83,-,Chennai,Maruti,Swift Dzire,VXI AT,2015,Petrol,Automatic,"42,000 kms",6.15 Lakh
84,-,Chennai,Hyundai,i10,Sportz,2015,Petrol,Manual,"40,001 kms",4 Lakh
85,-,Chennai,Maruti,Ciaz,AT ZXi,2015,Petrol,Automatic,"69,000 kms",6.5 Lakh
86,-,Chennai,Nissan,Micra,Diesel XV,2013,Diesel,Manual,"47,000 kms",3.75 Lakh
87,-,Chennai,Maruti,Baleno,1.2 Delta,2017,Petrol,Manual,"34,010 kms",6.6 Lakh
88,-,Chennai,Hyundai,i10,Sportz AT,2012,Petrol,Automatic,"40,280 kms",3.75 Lakh
89,-,Chennai,Datsun,GO Plus,A,2016,Petrol,Manual,"46,001 kms",3.7 Lakh
90,-,Chennai,Hyundai,EON,Era Plus,2013,Petrol,Manual,"41,001 kms",3.15 Lakh
91,-,Chennai,Maruti,Wagon R,VXI BS IV,2012,Petrol,Manual,"42,000 kms",3.25 Lakh
92,-,Chennai,Hyundai,Elantra,SX,2012,Petrol,Manual,"79,082 kms",5.25 Lakh
93,-,Chennai,Volkswagen,CrossPolo,1.5 TDI,2014,Diesel,Manual,"66,000 kms",5.25 Lakh
94,-,Chennai,Mahindra,Logan,Diesel 1.5 DLE,2011,Diesel,Manual,"1,12,841 kms",1.2 Lakh
95,-,Chennai,Hyundai,Grand i10,Sportz,2016,Petrol,Manual,"42,000 kms",4.5 Lakh
